TITLE="Graphics"
VARIABLES= "j", "hj, m" 
1 0.0025 300
2 0.0025 300
3 0.0025 300
4 0.0025 300
5 0.0025 300
6 0.0025 300
7 0.0025 300
8 0.0025 300
9 0.0025 300
10 0.0025 300
11 0.0025 300
12 0.0025 300
13 0.0025 300
14 0.0025 300
15 0.0025 300
16 0.0025 300
17 0.0025 300
18 0.0025 300
19 0.0025 300
20 0.0025 337.637
21 0.0025 1500
22 0.0025 1500
23 0.0025 1500
24 0.0025 1500
25 0.0025 1500
26 0.0025 1500
27 0.0025 1500
28 0.0025 1500
29 0.0025 1500
30 0.0025 1500
31 0.0025 1500
32 0.0025 1500
33 0.0025 1500
34 0.0025 1500
35 0.0025 1500
36 0.0025 1500
37 0.0025 1500
38 0.0025 1500
39 0.0025 1500
40 0.0025 1500
41 0.0025 1500
42 0.0025 1500
43 0.0025 1500
44 0.0025 1500
45 0.0025 1500
46 0.0025 1500
47 0.0025 1500
48 0.0025 1500
49 0.0025 1500
50 0.0025 1500
51 0.0025 1500
52 0.0025 1500
53 0.0025 1500
54 0.0025 1500
55 0.0025 1500
56 0.0025 1500
57 0.0025 1500
58 0.0025 1500
59 0.0025 1500
60 0.0025 1500
61 0.0025 1500
62 0.0025 1500
63 0.0025 1500
64 0.0025 1500
65 0.0025 1500
66 0.0025 1500
67 0.0025 1500
68 0.0025 1500
69 0.0025 1500
70 0.0025 1500
71 0.0025 1500
72 0.0025 1500
73 0.0025 1500
74 0.0025 1500
75 0.0025 1500
76 0.0025 1500
77 0.0025 1500
78 0.0025 1500
79 0.0025 1500
80 0.0025 1500
81 0.0025 1500
82 0.0025 1500
83 0.0025 1500
84 0.0025 1500
85 0.0025 1500
86 0.0025 1500
87 0.0025 1500
88 0.0025 1500
89 0.0025 1500
90 0.0025 1500
91 0.0025 1500
92 0.0025 1500
93 0.0025 1500
94 0.0025 1500
95 0.0025 1500
96 0.0025 1500
97 0.0025 1500
98 0.0025 1500
99 0.0025 1500
100 0.0025 1500
101 0.0025 1500
