TITLE     = "Graphics"
VARIABLES = "rj"
"T"
"Lambda"
ZONE T="ZONE 001"
 STRANDID=0, SOLUTIONTIME=0
 I=101, J=1, K=1, ZONETYPE=Ordered
 DATAPACKING=BLOCK
 DT=(SINGLE SINGLE SINGLE )
 0.000000000E+000 2.499999944E-003 4.999999888E-003 7.499999832E-003 9.999999776E-003
 1.250000019E-002 1.499999966E-002 1.750000007E-002 1.999999955E-002 2.250000089E-002
 2.500000037E-002 2.749999985E-002 2.999999933E-002 3.249999881E-002 3.500000015E-002
 3.750000149E-002 3.999999911E-002 4.250000045E-002 4.500000179E-002 4.749999940E-002
 5.000000075E-002 5.249999836E-002 5.508289859E-002 5.775149912E-002 6.050860137E-002
 6.335709989E-002 6.630019844E-002 6.934080273E-002 7.248230278E-002 7.572799921E-002
 7.908129692E-002 8.254580200E-002 8.612529933E-002 8.982349932E-002 9.364429861E-002
 9.759189934E-002 1.016699970E-001 1.058840007E-001 1.102380008E-001 1.147359982E-001
 1.193829998E-001 1.241839975E-001 1.291439980E-001 1.342689991E-001 1.395639926E-001
 1.450349987E-001 1.506869942E-001 1.565269977E-001 1.625600010E-001 1.687929928E-001
 1.752330065E-001 1.818870008E-001 1.887609959E-001 1.958640069E-001 2.032009959E-001
 2.107830048E-001 2.186149955E-001 2.267079949E-001 2.350690067E-001 2.437070012E-001
 2.526319921E-001 2.618530095E-001 2.713789940E-001 2.812219858E-001 2.913909853E-001
 3.018969893E-001 3.127520084E-001 3.239670098E-001 3.355529904E-001 3.475239873E-001
 3.598929942E-001 3.726710081E-001 3.858729899E-001 3.995130062E-001 4.136050045E-001
 4.281649888E-001 4.432080090E-001 4.587500095E-001 4.748069942E-001 4.913960099E-001
 5.085359812E-001 5.262449980E-001 5.445410013E-001 5.634430051E-001 5.829730034E-001
 6.031500101E-001 6.239969730E-001 6.455349922E-001 6.677870154E-001 6.907770038E-001
 7.145299911E-001 7.390710115E-001 7.644249797E-001 7.906209826E-001 8.176850080E-001
 8.456469774E-001 8.745369911E-001 9.043849707E-001 9.352220297E-001 9.670829773E-001
 1.000000000E+000
 4.000000000E+002 4.000000000E+002 4.000000000E+002 4.000000000E+002 4.000000000E+002
 4.000000000E+002 4.000000000E+002 4.000000000E+002 4.000000000E+002 4.000000000E+002
 4.000000000E+002 4.000000000E+002 4.000000000E+002 4.000000000E+002 4.000000000E+002
 4.000000000E+002 4.000000000E+002 4.000000000E+002 4.000000000E+002 4.000000000E+002
 4.000000000E+002 1.500000000E+003 1.500000000E+003 1.500000000E+003 1.500000000E+003
 1.500000000E+003 1.500000000E+003 1.500000000E+003 1.500000000E+003 1.500000000E+003
 1.500000000E+003 1.500000000E+003 1.500000000E+003 1.500000000E+003 1.500000000E+003
 1.500000000E+003 1.500000000E+003 1.500000000E+003 1.500000000E+003 1.500000000E+003
 1.500000000E+003 1.500000000E+003 1.500000000E+003 1.500000000E+003 1.500000000E+003
 1.500000000E+003 1.500000000E+003 1.500000000E+003 1.500000000E+003 1.500000000E+003
 1.500000000E+003 1.500000000E+003 1.500000000E+003 1.500000000E+003 1.500000000E+003
 1.500000000E+003 1.500000000E+003 1.500000000E+003 1.500000000E+003 1.500000000E+003
 1.500000000E+003 1.500000000E+003 1.500000000E+003 1.500000000E+003 1.500000000E+003
 1.500000000E+003 1.500000000E+003 1.500000000E+003 1.500000000E+003 1.500000000E+003
 1.500000000E+003 1.500000000E+003 1.500000000E+003 1.500000000E+003 1.500000000E+003
 1.500000000E+003 1.500000000E+003 1.500000000E+003 1.500000000E+003 1.500000000E+003
 1.500000000E+003 1.500000000E+003 1.500000000E+003 1.500000000E+003 1.500000000E+003
 1.500000000E+003 1.500000000E+003 1.500000000E+003 1.500000000E+003 1.500000000E+003
 1.500000000E+003 1.500000000E+003 1.500000000E+003 1.500000000E+003 1.500000000E+003
 1.500000000E+003 1.500000000E+003 1.500000000E+003 1.500000000E+003 1.500000000E+003
 1.500000000E+003
 1.560000004E-003 1.560000004E-003 1.560000004E-003 1.560000004E-003 1.560000004E-003
 1.560000004E-003 1.560000004E-003 1.560000004E-003 1.560000004E-003 1.560000004E-003
 1.560000004E-003 1.560000004E-003 1.560000004E-003 1.560000004E-003 1.560000004E-003
 1.560000004E-003 1.560000004E-003 1.560000004E-003 1.560000004E-003 1.560000004E-003
 1.560000004E-003 4.749999847E-003 4.749999847E-003 4.749999847E-003 4.749999847E-003
 4.749999847E-003 4.749999847E-003 4.749999847E-003 4.749999847E-003 4.749999847E-003
 4.749999847E-003 4.749999847E-003 4.749999847E-003 4.749999847E-003 4.749999847E-003
 4.749999847E-003 4.749999847E-003 4.749999847E-003 4.749999847E-003 4.749999847E-003
 4.749999847E-003 4.749999847E-003 4.749999847E-003 4.749999847E-003 4.749999847E-003
 4.749999847E-003 4.749999847E-003 4.749999847E-003 4.749999847E-003 4.749999847E-003
